"State","crashes_per_state"
"FCT","4852"
"Ogun","3780"
"Nasarawa","2946"
"Kaduna","2784"
"Oyo","2084"
"Lagos","1939"
"Niger","1908"
"Bauchi","1661"
"Kogi","1651"
"Ondo","1526"
"Jigawa","1470"
"Osun","1310"
"Kwara","1244"
"Kano","1097"
"Gombe","1092"
"Plateau","998"
"Benue","879"
"Adamawa","829"
"Edo","822"
"Taraba","790"
"Enugu","759"
"Delta","670"
"Anambra","634"
"Kebbi","620"
"Yobe","597"
"Ebonyi","502"
"Katsina","497"
"Cross River","410"
"Sokoto","396"
"Ekiti","389"
"Zamfara","379"
"Borno","366"
"Imo","349"
"Abia","339"
"Rivers","312"
"Akwa Ibom","240"
"Bayelsa","141"
